"","ArrivalDate","MODALPRICE","arrivalquantity","T","RA"
"524",2017-05-19,7300,2,NA,NA
"525",2017-05-20,7300,0.7,NA,NA
"526",2017-05-22,7300,1.3,NA,NA
"527",2017-05-23,7300,2,NA,NA
"528",2017-05-24,7300,0.8,NA,NA
"529",2017-05-25,7300,1.8,NA,NA
"530",2017-05-26,7300,5,NA,NA
"531",2017-05-27,7300,0.9,NA,NA
"532",2017-05-29,7300,1.1,NA,NA
"533",2017-05-30,7300,3.1,NA,NA
"534",2017-05-31,7300,0.8,NA,NA
"535",2017-06-01,7300,0.2,NA,NA
"536",2017-06-02,7300,2.6,NA,NA
"537",2017-06-03,7300,0.1,NA,NA
"538",2017-06-05,7300,1.2,NA,NA
"539",2017-06-06,7300,1.3,NA,NA
"540",2017-06-07,7300,1.9,NA,NA
"541",2017-06-08,7300,0.8,NA,NA
"542",2017-06-09,7300,3.2,NA,NA
"543",2017-06-10,7300,1.8,NA,NA
"544",2017-06-12,7300,1.8,NA,NA
"545",2017-06-13,7300,1.7,NA,NA
"546",2017-06-14,7300,3.3,NA,NA
"547",2017-06-15,7300,1.8,NA,NA
"548",2017-06-16,7300,0.1,NA,NA
"549",2017-06-17,7300,1.9,NA,NA
"550",2017-06-19,7300,0.7,NA,NA
"551",2017-06-20,7300,4,NA,NA
"552",2017-06-21,7300,0.9,NA,NA
"553",2017-06-22,7300,1.5,NA,NA
"554",2017-06-23,7300,2.2,NA,NA
"555",2017-06-24,7300,1.9,NA,NA
"556",2017-06-26,7300,1.7,NA,NA
"557",2017-06-27,7300,2.9,NA,NA
"558",2017-06-28,7300,1.2,NA,NA
"559",2017-06-29,7300,0.1,NA,NA
"560",2017-06-30,7300,0.8,NA,NA
"561",2017-07-01,7300,2.3,NA,NA
"562",2017-07-03,7300,1.7,NA,NA
"563",2017-07-04,7300,2.1,NA,NA
"564",2017-07-05,7300,2.5,NA,NA
"565",2017-07-06,7300,2.3,NA,NA
"566",2017-07-07,7300,0.9,NA,NA
"567",2017-07-08,7300,1.5,NA,NA
"568",2017-07-10,7300,1.8,NA,NA
"569",2017-07-11,7300,0.9,NA,NA
"570",2017-07-12,7300,1.7,NA,NA
"571",2017-07-13,7300,2.4,NA,NA
"572",2017-07-14,7300,1.1,NA,NA
"573",2017-07-15,7300,2.3,NA,NA
"574",2017-07-17,7300,0.8,NA,NA
"575",2017-07-18,7300,3.8,NA,NA
"576",2017-07-19,7300,1.1,NA,NA
"577",2017-07-20,7300,2.5,NA,NA
"578",2017-07-21,7300,0.9,NA,NA
"579",2017-07-22,7300,1.3,NA,NA
"580",2017-07-24,7300,2,NA,NA
"581",2017-07-25,7300,1.3,NA,NA
"582",2017-07-26,7300,2.7,NA,NA
"583",2017-07-27,7300,2.7,NA,NA
"584",2017-07-28,7300,2.4,NA,NA
"585",2017-07-29,7300,2.1,NA,NA
"586",2017-07-31,7300,2,NA,NA
"587",2017-08-01,7300,2.3,NA,NA
"588",2017-08-02,7300,2.4,NA,NA
"589",2017-08-03,7300,0.8,NA,NA
"590",2017-08-04,7300,1.7,NA,NA
"591",2017-08-05,7300,1.7,NA,NA
"592",2017-08-07,7300,2.2,NA,NA
"593",2017-08-08,7300,4.4,NA,NA
"594",2017-08-09,7300,5,NA,NA
"595",2017-08-10,7300,4,NA,NA
"596",2017-08-11,7300,1.7,NA,NA
"597",2017-08-12,7300,5.5,NA,NA
"598",2017-08-13,7300,2.8,NA,NA
"599",2017-08-14,7300,3,NA,NA
