,ArrivalDate,Price,T,RA
600,6/19/2013,7300,29.8,1
601,6/20/2013,7300,29.9,0
602,6/21/2013,7300,29.8,0
603,6/24/2013,7300,30,1
604,6/25/2013,7300,26.5,1
605,6/26/2013,7300,26.7,1
606,6/27/2013,7300,25.4,1
607,6/28/2013,7300,27,1
608,7/1/2013,7300,27.3,1
609,7/4/2013,7300,27.7,1
610,7/5/2013,7300,27,1
611,7/8/2013,7300,27.1,1
612,7/9/2013,7300,26.2,1
613,7/10/2013,7300,26.4,1
614,7/11/2013,7300,28.3,1
615,7/12/2013,7300,27.7,1
616,7/15/2013,7300,29.6,1
617,7/16/2013,7300,29.7,1
618,7/17/2013,7300,28.2,1
619,7/18/2013,7300,27.6,1
620,7/19/2013,7300,26.7,1
621,7/22/2013,7300,30.1,0
622,7/23/2013,7300,28.3,1
623,7/24/2013,7300,30,1
624,7/25/2013,7300,28.6,1
625,7/26/2013,7300,28.7,1
626,7/29/2013,7300,31.5,0
627,7/30/2013,7300,32.3,1
628,7/31/2013,7300,26.4,1
629,8/1/2013,7300,29.3,0
630,8/2/2013,7300,29.9,0
631,8/5/2013,7300,25,1
632,8/6/2013,7300,25.7,1
633,8/7/2013,7300,25.8,1
634,8/8/2013,7300,25.9,1
635,8/12/2013,7300,28.7,0
636,8/13/2013,7300,28.9,0
637,8/14/2013,7300,29.9,1
638,8/19/2013,7300,31.6,0
639,8/20/2013,7300,30,1
640,8/21/2013,7300,31,0
641,8/22/2013,7100,27.4,1
642,8/23/2013,7100,30.1,0
643,8/27/2013,7100,29.8,0
644,8/29/2013,7100,26.7,1
645,8/30/2013,7100,27.1,1
646,9/2/2013,7100,26.7,1
647,9/3/2013,7100,26.4,1
648,9/6/2013,7100,27.7,0
649,9/10/2013,7100,28.8,0
650,9/11/2013,7100,29.6,0
651,9/12/2013,7100,30.2,0
652,9/13/2013,7100,30.6,0
653,9/16/2013,7100,29.9,0
654,9/17/2013,7100,30.1,0
655,9/19/2013,7100,32.1,0
656,9/20/2013,7100,26.5,1
657,9/23/2013,7100,28.9,0
658,9/24/2013,7100,29.1,0
659,9/25/2013,7100,29.8,1
660,9/26/2013,7100,25.9,1
661,9/27/2013,7100,28.8,0
662,9/30/2013,7100,27.4,1
663,10/1/2013,7100,27.9,1
664,10/3/2013,7100,28.2,1
665,10/7/2013,7100,21.4,1
666,10/8/2013,7100,25.3,0
667,10/9/2013,7100,26.1,0
668,10/10/2013,7100,26.9,0
669,10/15/2013,7100,26.3,1
670,10/17/2013,7100,27.6,0
671,10/21/2013,7100,23.6,1
672,10/22/2013,7100,23.4,1
673,10/23/2013,7100,24.4,0
674,10/24/2013,7100,24.4,0
675,10/25/2013,7100,25.1,0
676,10/28/2013,7100,21.7,1
677,10/29/2013,7100,18.3,1
678,10/30/2013,7100,20.8,1
679,10/31/2013,7100,20.8,0
680,11/5/2013,7100,21.8,0
681,11/6/2013,7100,22.4,0
682,11/7/2013,7100,21.8,0
683,11/8/2013,7100,21.5,0
684,11/12/2013,7100,20.6,0
685,11/13/2013,7100,20.3,0
686,11/14/2013,7100,20.8,0
687,11/18/2013,7100,19.5,0
688,11/19/2013,7100,19.8,0
689,11/21/2013,7100,21,0
690,11/22/2013,7100,20.6,0
691,11/25/2013,7100,19.4,0
692,11/26/2013,7100,21.3,0
693,11/27/2013,7100,20.6,0
694,11/28/2013,7100,21.2,0
695,11/29/2013,7100,21.9,0
696,12/2/2013,7100,20.7,0
697,12/3/2013,7100,20.8,0
698,12/6/2013,7100,19.9,0
699,12/9/2013,7100,19.7,0
700,12/10/2013,7100,20.2,0
701,12/12/2013,7100,16.1,1
702,12/13/2013,7100,17.8,0
703,12/16/2013,7100,15.6,0
704,12/17/2013,7100,15.2,0
705,12/18/2013,7100,14.8,0
706,12/19/2013,7100,15.4,0
707,12/20/2013,7100,15.6,1
708,12/26/2013,7100,16,0
709,12/27/2013,7100,15.9,0
710,12/30/2013,7100,16.4,0
711,12/31/2013,7100,16.1,0
712,1/1/2014,7100,15.9,0
713,1/2/2014,7100,16.2,0
714,1/3/2014,7100,16.7,0
715,1/6/2014,7100,15.3,0
716,1/7/2014,7100,14.4,0
717,1/8/2014,7100,14.3,0
718,1/9/2014,7100,14.7,0
719,1/10/2014,7100,15.6,0
720,1/13/2014,7100,16.4,0
721,1/16/2014,7100,17.2,0
722,1/17/2014,7100,17.8,0
723,1/20/2014,7100,16.9,0
724,1/21/2014,7100,18.2,0
725,1/23/2014,7100,18.1,0
726,1/24/2014,7100,18.5,0
727,1/27/2014,7100,18.8,0
728,1/28/2014,7100,18.4,0
729,1/30/2014,7100,18.4,0
730,1/31/2014,7100,18.5,0
731,2/3/2014,7100,18,0
732,2/6/2014,7100,17.4,0
733,2/7/2014,7100,17.4,1
734,2/10/2014,7100,17.8,0
735,2/11/2014,7100,18.7,1
736,2/12/2014,7100,18,0
737,2/13/2014,7100,16.2,0
738,2/14/2014,7100,18.7,1
739,2/18/2014,7100,17.1,0
740,2/19/2014,7100,18.4,0
741,2/20/2014,7100,19,0
742,2/21/2014,7100,20.1,0
743,2/26/2014,7100,21.7,0
744,3/3/2014,7100,23.1,0
745,3/4/2014,7100,21.8,0
746,3/5/2014,7100,19.9,0
747,3/6/2014,7100,20.6,0
748,3/7/2014,7100,20.5,0
749,3/10/2014,7100,22.4,0
750,3/11/2014,7100,22.6,0
751,3/12/2014,7100,22.2,0
752,3/13/2014,7100,21.7,0
